isolate_genus,Gyalectales,Lecanorales,Peltigerales,Pertusariales,Teloschistales,Trichotheliales,unidentified
Absidia,0,0,0,0,0,1,0
Amphirosellinia,0,6,4,0,0,0,0
Anthostomelloides,2,6,5,2,0,0,0
Antrelloides,0,1,0,0,0,0,0
Ascochyta,0,2,0,0,0,0,0
Boeremia,0,1,0,0,0,0,0
Cancellidium,0,0,2,0,0,0,0
Chaetomium,0,2,0,0,0,0,1
Cladorrhinum,0,2,0,0,0,0,0
Cladosporium,0,0,2,0,0,0,0
Clitopilus,0,0,2,0,0,0,0
Coniochaeta,0,3,2,1,0,0,0
Cylindrotrichum,0,2,0,0,0,0,0
Daldinia,0,0,2,1,0,0,0
Dictyospora,0,1,0,0,0,0,0
Epicoccum,0,2,0,0,0,0,0
Filobasidium,0,0,0,0,2,0,0
Fusarium,0,5,7,0,1,2,0
Fusicolla,0,1,1,0,0,0,0
Gelasinospora,1,3,4,0,0,0,1
Gibellulopsis,0,1,0,0,0,0,0
Gyromitra,0,2,1,0,0,0,0
Helminthosporium,0,0,1,0,0,0,0
Heterotruncatella,0,1,0,0,0,0,0
Houjia,0,1,0,0,0,0,0
Hydnotrya,0,1,0,0,0,0,0
Ilyonectria,0,0,1,0,0,0,0
Induratia,0,2,0,0,0,0,0
Macroventuria,0,0,0,0,1,0,0
Metarhizium,0,0,1,0,0,0,0
Microcera,0,1,1,0,0,0,0
Mucor,0,1,11,0,2,0,0
Nemania,2,3,0,0,0,0,0
Neoascochyta,0,0,1,0,0,0,0
Neopestalotiopsis,0,0,1,0,0,0,0
Neopyrenochaeta,0,0,1,0,0,0,0
Neurospora,0,4,0,0,0,0,0
Nigrospora,0,4,0,0,0,0,0
Nothophoma,0,0,1,0,1,0,0
Paecilomyces,0,0,3,0,0,0,0
Paraphaeosphaeria,0,1,0,0,0,0,0
Parasarcopodium,0,1,0,1,0,0,0
Parateratosphaeria,0,0,1,0,0,0,0
Parathyridaria,0,1,0,0,0,0,0
Penicillium,0,21,14,0,0,0,1
Periconia,0,3,1,0,0,0,0
Pestalotiopsis,0,8,2,1,0,1,0
Peziza,0,0,1,0,0,0,0
Pholiota,0,1,0,0,0,0,0
Pichia,0,1,0,0,0,0,0
Plectania,0,2,2,0,0,0,0
Podospora,0,1,0,0,0,0,0
Preussia,0,1,6,0,1,0,1
Psathyrella,0,1,1,0,0,1,0
Pseudogymnoascus,0,0,4,0,0,0,0
Pseudoneoconiothyrium,0,0,0,0,1,0,0
Pseudoplectania,0,1,0,0,0,0,0
Sordaria,0,2,1,0,0,0,2
Terfezia,0,1,0,0,0,0,0
Tolypocladium,0,4,1,0,0,0,0
Triangularia,0,1,0,0,0,0,0
Tricharina,0,2,0,0,0,0,0
Trichoderma,1,21,20,3,0,2,0
Trichonectria,0,1,0,0,0,0,0
Umbelopsis,0,3,1,0,0,0,0
Xylaria,0,5,3,1,0,0,0
Xylotumulus,0,2,0,0,0,0,0
unidentified,0,29,43,4,8,3,0
