,102,104,105,106,107,10,110,112,113,114,116,118,11,120,121,122,123,124,125,126,127,129,130,131,132,133,134,140,141,142,14,150,151,153,154,157,159,15,160,161,162,163,164,165,16,170,171,172,173,174,175,176,177,179,17,180,181,183,184,185,186,187,18,193,194,196,197,198,199,19,1,200,203,206,207,208,209,20,211,214,218,222,224,225,226,227,229,22,232,234,239,23,242,243,244,245,247,24,252,254,255,258,259,260,261,262,264,267,268,26,272,276,277,278,279,27,282,283,284,285,286,289,28,291,292,293,294,296,299,29,300,302,304,306,308,309,30,311,312,314,315,316,317,318,319,31,320,321,322,324,327,328,329,32,331,333,334,335,336,337,33,340,342,343,344,345,346,347,350,354,355,357,358,35,361,362,363,366,368,369,36,370,371,372,375,376,378,379,38,39,40,41,42,43,45,47,48,50,53,54,59,61,65,66,67,68,69,6,70,71,76,78,79,7,80,84,85,86,87,88,89,92,93,94,95,96,97,99,9
AA3,17,29,17,13,29,29,26,15,24,29,31,18,61,21,0,5,1,13,29,13,33,53,35,61,14,13,14,10,1,29,12,34,10,27,12,2,35,26,27,56,34,53,3,53,17,57,61,20,2,16,25,58,27,38,2,5,25,12,55,19,1,15,23,19,14,15,7,26,5,26,11,5,35,37,7,15,10,14,11,28,10,24,29,13,7,11,24,26,8,4,5,15,15,11,34,31,28,28,33,13,43,19,36,38,13,12,1,21,39,20,17,22,25,11,18,43,17,21,13,27,38,10,6,25,14,38,23,27,0,33,5,33,15,22,2,20,36,18,4,27,11,9,32,34,14,26,1,38,27,35,15,14,2,18,12,12,12,13,5,37,34,0,15,8,1,23,3,2,29,14,12,5,2,13,0,32,4,13,2,2,1,35,16,18,39,26,14,27,12,16,32,32,41,11,11,11,34,12,16,6,2,4,21,37,29,26,30,9,34,29,15,13,4,10,10,18,16,15,8,33,19,18,29,27,31,13,4,13,3
GH2,6,8,12,5,8,9,7,9,10,6,5,4,9,7,0,0,0,7,7,0,7,7,7,11,8,9,9,6,0,3,7,5,0,6,0,1,5,7,6,10,7,7,0,10,3,11,11,2,0,8,2,11,1,3,1,1,1,10,10,6,0,9,7,11,8,2,0,7,4,7,4,0,7,6,0,10,10,10,9,2,6,3,9,8,4,1,3,7,1,1,1,6,10,0,6,6,4,7,6,2,10,4,8,6,5,5,0,2,10,2,7,9,3,0,8,10,6,9,3,8,5,3,2,1,3,6,2,6,0,8,1,5,5,7,0,1,11,2,0,5,1,6,6,5,4,10,0,8,8,7,4,6,0,4,7,8,10,8,1,7,7,0,1,0,0,4,0,0,7,10,1,1,0,6,0,9,4,3,0,0,0,7,3,8,8,8,2,0,4,0,3,8,7,1,8,8,10,8,5,0,0,0,6,8,8,8,9,3,9,7,5,7,1,1,3,7,5,2,0,9,6,7,7,6,9,2,0,1,1
GH43,14,18,2,7,19,15,22,5,7,21,11,11,25,16,0,0,2,1,19,3,14,24,14,26,5,5,5,5,2,12,5,10,11,21,13,1,26,14,20,25,16,22,1,21,9,27,23,5,4,6,10,25,6,19,2,0,14,5,25,14,1,6,16,4,3,15,9,22,2,13,6,0,21,21,2,5,5,6,5,5,5,10,34,5,2,9,27,12,7,8,2,16,6,2,14,22,13,14,15,12,17,14,17,18,1,1,1,12,14,3,11,18,15,10,12,20,12,17,9,23,9,5,2,10,4,18,6,19,0,15,4,18,5,17,2,10,16,10,2,15,7,5,13,14,1,19,1,18,11,17,6,1,1,13,3,6,6,6,2,18,19,0,8,4,1,12,3,1,18,5,4,4,2,6,2,20,9,14,8,2,1,20,1,2,10,29,7,1,12,7,14,19,20,4,3,2,23,3,7,5,4,1,14,19,15,15,15,2,14,15,7,2,4,1,5,7,6,5,11,21,14,15,18,16,20,5,6,6,1
AA9,19,26,3,16,28,2,13,3,5,23,3,9,27,13,0,2,3,3,30,1,4,24,4,26,3,3,3,2,1,27,2,3,7,12,4,1,35,26,23,27,27,23,0,26,19,26,27,3,4,3,23,27,3,23,7,0,16,3,26,20,0,3,19,3,3,15,5,13,3,26,3,0,21,22,1,3,3,3,3,10,2,7,16,3,2,18,6,25,15,5,2,20,3,9,22,23,19,20,15,16,25,12,38,16,0,0,2,21,26,14,21,21,23,19,17,44,17,21,12,13,26,1,39,19,19,27,4,23,0,3,1,26,3,20,5,18,39,20,3,21,13,5,33,25,1,6,0,39,4,11,20,1,8,20,3,3,3,3,1,36,27,1,17,11,0,19,6,1,5,3,2,9,7,18,2,34,20,20,4,7,7,41,3,3,30,35,12,5,25,10,19,29,30,12,1,1,35,1,18,13,11,1,25,38,5,4,5,2,35,44,20,4,2,12,16,3,19,19,17,34,21,20,28,27,28,16,11,21,2
AA7,11,12,10,12,13,18,17,18,17,19,15,8,44,11,0,1,0,6,12,1,16,32,16,34,16,16,17,10,1,20,11,20,3,20,5,2,14,14,16,42,24,33,1,40,15,44,45,5,1,12,6,43,10,13,1,2,9,14,39,9,0,14,10,16,10,8,1,20,5,13,7,2,22,23,4,18,12,18,14,9,4,8,26,16,8,2,5,14,5,0,4,15,11,5,22,16,15,14,20,15,37,8,28,23,6,6,0,9,36,13,8,12,10,7,9,19,5,12,5,25,16,0,4,7,11,24,8,13,0,18,5,17,7,9,1,12,27,9,0,27,9,4,21,12,7,16,1,32,14,21,17,9,0,9,9,8,17,18,4,27,13,0,5,2,0,7,1,0,15,16,2,0,0,11,1,30,6,3,0,1,1,19,9,9,15,25,3,2,10,3,15,15,26,2,13,13,31,13,8,5,0,2,12,41,23,17,22,4,9,15,16,13,0,1,4,12,15,12,3,32,11,10,15,11,31,8,0,9,1
GT2_Glyco_trans_2,2,3,1,4,3,1,2,0,1,2,1,2,1,1,0,0,0,1,3,0,1,4,1,1,0,1,0,0,0,3,1,1,1,2,2,0,2,0,2,1,3,1,0,1,1,1,1,0,0,2,2,1,0,2,0,0,3,1,1,2,0,2,2,2,1,1,1,3,1,0,0,1,2,2,1,1,1,1,0,5,2,3,3,1,1,1,2,1,0,0,0,3,2,2,4,2,2,2,4,2,1,2,1,4,3,3,0,2,2,1,0,1,3,1,0,1,1,2,1,2,2,0,1,3,5,3,2,2,0,3,1,3,2,3,0,3,0,2,0,3,1,2,1,2,4,1,0,2,2,3,5,3,2,2,2,1,0,1,1,3,3,0,2,1,0,0,0,1,3,1,0,0,2,5,0,2,1,1,0,0,1,2,1,1,1,3,2,3,1,1,2,3,0,0,2,2,1,2,5,2,1,1,0,2,1,1,2,2,1,0,5,2,3,1,3,0,5,5,0,3,3,1,2,2,2,2,0,1,0
GH76,10,10,9,10,10,9,9,9,10,9,8,4,14,8,1,1,1,7,10,2,9,16,9,15,9,9,9,9,0,8,8,9,2,7,4,2,11,6,8,14,12,11,1,13,6,14,15,5,1,9,7,14,7,8,2,0,6,9,14,10,1,9,10,9,8,4,1,9,9,6,7,0,10,10,7,10,8,9,9,9,9,6,10,9,8,6,10,6,2,0,6,10,9,3,9,11,9,9,7,9,13,5,10,12,11,10,1,7,14,8,6,6,10,5,6,12,7,7,4,9,2,6,4,1,8,12,4,9,0,9,2,12,8,9,1,6,7,8,1,10,5,8,8,6,10,9,0,9,9,7,10,10,0,10,8,9,9,9,3,7,11,0,4,4,0,9,4,0,9,9,4,3,3,10,0,11,4,9,0,1,1,7,8,8,11,7,3,0,5,5,7,11,11,3,11,11,11,9,10,5,2,2,10,9,7,7,8,5,10,10,10,8,1,0,9,9,10,9,3,11,10,10,10,11,9,7,1,7,4
GH28,6,6,2,2,8,17,8,5,4,6,13,4,19,3,0,3,2,2,8,9,20,25,17,16,5,4,5,3,1,0,5,14,1,7,3,1,10,0,6,18,5,16,3,18,0,19,18,8,0,4,4,18,10,13,0,1,5,5,16,6,1,4,8,3,1,7,0,6,3,0,4,0,13,13,2,5,5,6,4,13,5,11,11,3,1,1,12,0,0,3,1,8,4,0,3,9,4,12,9,5,8,3,4,10,1,1,0,4,7,2,9,13,5,2,10,4,9,10,7,8,8,12,1,7,1,5,5,6,0,16,2,3,4,9,1,5,11,4,3,5,4,3,8,2,1,17,2,4,12,13,1,1,0,8,3,6,6,6,0,5,8,0,2,1,0,11,0,0,15,6,7,1,1,2,0,6,2,2,3,1,1,8,3,2,4,11,4,1,5,4,10,8,5,1,1,1,7,1,3,1,0,4,3,5,12,12,13,1,2,1,1,0,1,2,0,2,2,1,2,7,5,6,7,8,6,4,1,3,0
CE8,3,1,1,1,3,6,2,0,2,4,7,3,5,3,0,2,2,0,3,2,5,10,5,5,0,1,0,0,0,1,1,6,2,2,3,0,6,1,4,4,4,3,1,4,1,4,5,6,0,1,2,4,4,3,0,2,2,1,4,3,0,0,4,0,1,2,1,2,0,1,0,0,4,4,0,1,0,1,0,5,1,6,4,0,0,2,5,1,1,1,0,4,0,1,2,5,1,5,2,1,4,4,1,1,0,0,0,1,5,1,2,4,2,0,4,1,2,4,2,3,3,4,0,0,0,4,1,4,0,6,0,1,0,5,0,1,4,1,0,1,1,1,3,5,0,5,1,1,3,7,0,0,0,4,0,0,1,1,0,3,3,0,1,1,0,4,0,1,3,1,0,1,1,1,0,4,1,1,0,0,0,2,0,1,1,3,2,3,2,1,4,3,2,1,0,0,4,0,1,1,1,3,1,1,1,3,1,0,1,2,1,0,1,0,0,1,1,1,0,4,3,3,2,2,4,1,2,0,0
