,actual_coverage,# contigs,pooled_library,N50,L50,BGC_count,Complete BUSCOS (%),dataset,BGC total length (Mbp),Assembly length (Mbp)
0,12.621763702198495,20079.0,1,1548.0,5392.0,7.0,49.62,ELF,<0.1,26.325374
1,100.29615227034286,608.0,1,645.0,230.0,0.0,0.4,ELF,<0.1,0.422249
2,107.74078965163363,365.0,1,628.0,137.0,0.0,0.2,ELF,<0.1,0.251402
3,268.1588672034481,2093.0,1,3027.0,296.0,1.0,,ELF,<0.1,4.107569
4,106.14743729296234,244.0,1,666.0,94.0,0.0,0.2,ELF,<0.1,0.169957
5,7.58967770236416,20676.0,1,1379.0,5806.0,2.0,37.2,ELF,<0.1,24.84815
6,6.774367080522745,24485.0,1,2099.0,5687.0,2.0,22.18,ELF,<0.1,39.611516
7,9.590829621232047,12128.0,1,687.0,4754.0,0.0,3.8,ELF,<0.1,8.531556
8,7.535987672165878,18538.0,1,904.0,6245.0,1.0,15.47,ELF,<0.1,16.275365
9,22.354284302523162,8365.0,1,5903.0,1682.0,60.0,93.9,ELF,0.5-1,32.130049
10,17.37361044256555,14065.0,1,4513.0,3018.0,48.0,88.87,ELF,0.1-0.5,43.400599
11,206.7235104638468,2009.0,1,3743.0,272.0,0.0,,ELF,<0.1,4.510196
12,42.28470741580834,942.0,1,578.0,393.0,0.0,0.1,ELF,<0.1,0.587677
13,7.484979491021995,11169.0,1,4572.0,2376.0,32.0,63.95,ELF,0.1-0.5,34.985166
14,43.266181771418644,1423.0,1,64409.0,150.0,20.0,94.82,ELF,0.5-1,32.628628
15,12.160254168839062,5533.0,1,8761.0,1031.0,11.0,79.34,ELF,0.1-0.5,29.840322
16,8.022332316794378,21994.0,1,994.0,7032.0,0.0,12.2,ELF,<0.1,20.777692
17,52.69188564867155,1409.0,1,59629.0,205.0,32.0,96.27,ELF,1-1.5,40.012268
18,27.26478063022634,5049.0,1,10818.0,920.0,20.0,92.91,ELF,0.1-0.5,31.680618
19,44.65098166171344,5771.0,1,9665.0,1157.0,45.0,95.96,ELF,0.5-1,35.948942
20,72.19773279456592,664.0,1,636.0,242.0,0.0,,ELF,<0.1,0.465507
21,58.85710707061828,2684.0,1,24573.0,398.0,23.0,95.66,ELF,0.5-1,32.398468
22,32.365200747779845,1885.0,1,44696.0,203.0,30.0,94.59,ELF,0.5-1,33.329061
23,31.257760480540203,3550.0,1,16347.0,655.0,38.0,94.36,ELF,0.5-1,34.498508
24,92.44337979094077,237.0,1,588.0,94.0,0.0,,ELF,<0.1,0.153832
25,31.16535479231146,5004.0,1,21297.0,565.0,25.0,92.3,ELF,0.5-1,41.109755
26,17.713473436322698,4827.0,1,15989.0,856.0,48.0,93.29,ELF,1-1.5,44.406333
27,48.41023341982571,6746.0,1,10007.0,1068.0,9.0,88.87,ELF,0.1-0.5,36.684159
28,14.241933489415832,7377.0,1,6124.0,1562.0,63.0,91.16,ELF,0.5-1,30.617142
29,72.76031395750518,573.0,1,157796.0,68.0,26.0,97.41,ELF,1-1.5,35.884092
30,77.22889953640171,1492.0,1,74364.0,144.0,47.0,97.26,ELF,1.5-2,35.405869
31,70.88185234992893,1211.0,1,78279.0,135.0,21.0,96.11,ELF,0.5-1,37.357002
32,10.38082621385566,9640.0,1,6334.0,1936.0,60.0,85.37,ELF,0.5-1,39.855686
33,14.505847646201252,6660.0,1,725.0,2483.0,0.0,,ELF,<0.1,4.95242
34,20.65613429832927,8228.0,1,6797.0,1655.0,24.0,91.92,ELF,0.1-0.5,35.314691
35,14.686182187609896,8951.0,1,730.0,3357.0,0.0,3.96,ELF,<0.1,6.65402
36,12.977709073918618,17985.0,1,1784.0,4609.0,2.0,,ELF,<0.1,25.839079
37,21.97408463247146,4084.0,1,20078.0,675.0,13.0,92.45,ELF,0.1-0.5,43.712442
38,7.258486066039265,34535.0,1,1724.0,8859.0,3.0,29.95,ELF,<0.1,48.869199
39,9.433544653052104,26794.0,1,3014.0,5745.0,21.0,66.92,ELF,0.1-0.5,57.029226
40,16.987787379829715,5700.0,1,11623.0,1067.0,81.0,92.61,ELF,1-1.5,40.552559
41,17.2967157727786,7976.0,1,8049.0,1606.0,69.0,93.83,ELF,1-1.5,41.880598
42,5.877910566889872,20760.0,1,929.0,6936.0,0.0,10.75,ELF,<0.1,18.587702
43,61.44827586206897,51.0,1,3011.0,11.0,0.0,,ELF,<0.1,0.097875
44,49.781755691157336,1711.0,1,45019.0,241.0,44.0,92.91,ELF,1.5-2,35.613758
45,11.107994114623386,8277.0,1,663.0,3305.0,0.0,1.7,ELF,<0.1,5.655373
46,47.08570295690897,2460.0,1,25842.0,415.0,47.0,93.22,ELF,1-1.5,35.409105
47,18.36155400134779,8394.0,1,8854.0,1572.0,111.0,94.51,ELF,1-1.5,45.064903
48,302.05438892178745,70.0,1,1033.0,18.0,0.0,,ELF,<0.1,0.065859
49,44.47781254019365,2115.0,1,30349.0,354.0,46.0,92.68,ELF,1-1.5,35.45336
51,9.309053134700445,8858.0,1,727.0,3346.0,0.0,3.4,ELF,<0.1,6.533527
52,15.242113083945025,13239.0,1,3533.0,3017.0,13.0,83.69,ELF,0.1-0.5,33.166671
53,8.358113477157055,19673.0,1,1336.0,5704.0,1.0,31.4,ELF,<0.1,23.005987
54,18.307864870602533,8381.0,1,709.0,3133.0,0.0,2.8,ELF,<0.1,6.147145
55,46.89280451866405,658.0,1,660.0,220.0,0.0,,ELF,<0.1,0.48864
56,14.85579991580039,5023.0,1,646.0,2062.0,0.0,0.8,ELF,<0.1,3.332557
57,46.66473061528555,664.0,1,636.0,233.0,0.0,,ELF,<0.1,0.475194
58,8.937394364145005,10915.0,1,748.0,4071.0,0.0,3.35,ELF,<0.1,8.23584
60,8.453737516017524,14097.0,1,945.0,4693.0,0.0,11.81,ELF,<0.1,12.801604
62,40.52591157953898,994.0,1,592.0,414.0,0.0,,ELF,<0.1,0.626303
63,10.975943863067045,10989.0,1,717.0,4182.0,0.0,2.4,ELF,<0.1,8.015543
64,18.24013235519891,3715.0,1,13725.0,683.0,28.0,89.71,ELF,0.5-1,30.659317
65,11.86799368693507,16150.0,1,3075.0,3645.0,60.0,81.71,ELF,0.5-1,36.366488
