assembly,GCF_unique,GCC_unique
lichen_48,50,11
lichen_93,49,10
lichen_41,47,10
lichen_94,43,10
lichen_293,42,10
lichen_127,41,12
lichen_170,40,11
lichen_31,40,7
lichen_78,39,10
lichen_42,37,10
lichen_10,36,9
lichen_268,36,8
lichen_162,36,9
lichen_29,35,11
lichen_47,35,9
lichen_224,35,10
lichen_255,34,9
lichen_27,34,9
lichen_20,34,9
lichen_50,33,9
lichen_45,31,9
lichen_113,31,9
lichen_33,31,9
lichen_88,30,7
lichen_328,30,8
lichen_376,30,10
lichen_261,28,6
lichen_331,28,9
lichen_159,28,8
lichen_319,28,8
lichen_114,28,9
lichen_176,27,8
lichen_350,27,8
lichen_130,27,8
lichen_116,27,7
lichen_322,27,9
lichen_262,27,5
lichen_161,26,7
lichen_69,26,6
lichen_285,25,7
lichen_150,25,7
lichen_375,25,9
lichen_337,25,10
lichen_71,24,8
lichen_23,24,8
lichen_259,24,6
lichen_30,23,7
lichen_18,23,8
lichen_65,23,11
lichen_324,23,9
lichen_160,23,7
lichen_129,23,5
lichen_229,23,9
lichen_67,22,6
lichen_208,22,5
lichen_11,22,7
lichen_24,22,7
lichen_203,22,9
lichen_66,21,5
lichen_354,21,6
lichen_165,21,5
lichen_131,21,6
lichen_89,21,8
lichen_107,21,5
lichen_362,20,4
lichen_198,20,4
lichen_206,19,9
lichen_260,19,4
lichen_26,19,10
lichen_14,19,6
lichen_345,19,8
lichen_296,19,6
lichen_125,19,5
lichen_153,18,6
lichen_84,18,7
lichen_22,18,9
lichen_124,18,5
lichen_242,17,5
lichen_85,17,10
lichen_32,17,7
lichen_104,17,4
lichen_245,16,9
lichen_163,16,3
lichen_35,16,7
lichen_372,16,4
lichen_68,16,4
lichen_187,16,4
lichen_183,16,4
lichen_184,15,5
lichen_106,15,10
lichen_95,15,3
lichen_222,15,8
lichen_247,15,4
lichen_15,15,8
lichen_370,14,6
lichen_112,14,4
lichen_110,14,4
lichen_302,14,4
lichen_19,14,7
lichen_194,14,3
lichen_335,14,4
lichen_134,13,4
lichen_277,13,3
lichen_334,13,5
lichen_105,13,3
lichen_327,13,8
lichen_185,13,6
lichen_92,13,8
lichen_321,13,2
lichen_244,13,3
lichen_306,12,5
lichen_38,12,7
lichen_286,12,7
lichen_171,12,5
lichen_40,12,4
lichen_174,11,4
lichen_133,11,4
lichen_317,11,6
lichen_314,11,4
lichen_209,11,4
lichen_132,11,3
lichen_193,11,2
lichen_76,11,7
lichen_252,10,3
lichen_70,10,3
lichen_102,10,7
lichen_276,9,3
lichen_371,9,3
lichen_53,9,3
lichen_86,9,5
lichen_16,9,6
lichen_288,9,2
lichen_218,9,3
lichen_28,9,5
lichen_258,8,4
lichen_316,8,3
lichen_142,8,3
lichen_333,8,3
lichen_225,8,3
lichen_211,7,3
lichen_283,7,3
lichen_119,7,2
lichen_101,7,2
lichen_177,7,3
lichen_304,6,3
lichen_282,6,4
lichen_214,6,3
lichen_140,6,3
lichen_120,6,2
lichen_90,5,2
lichen_1,5,2
lichen_294,5,3
lichen_309,5,1
lichen_272,5,2
lichen_267,5,2
lichen_265,5,3
lichen_253,5,2
lichen_234,5,3
lichen_279,5,3
lichen_108,5,2
lichen_154,4,3
lichen_226,4,2
lichen_135,4,2
lichen_292,4,3
lichen_325,4,3
lichen_96,4,3
lichen_254,4,3
lichen_79,3,2
lichen_169,3,2
lichen_179,3,2
lichen_39,3,2
lichen_223,3,3
lichen_151,3,3
lichen_128,3,2
lichen_278,3,3
lichen_98,3,1
lichen_355,3,2
lichen_318,3,3
lichen_315,3,1
lichen_300,3,2
lichen_221,2,2
lichen_118,2,1
lichen_87,2,1
lichen_148,2,2
lichen_311,2,1
lichen_175,2,1
lichen_284,2,2
lichen_7,2,1
lichen_188,2,1
lichen_326,2,2
lichen_6,2,1
lichen_379,2,1
lichen_366,2,2
lichen_37,2,1
lichen_289,2,1
lichen_200,1,1
lichen_313,1,1
lichen_320,1,1
lichen_103,1,1
lichen_117,1,1
lichen_287,1,1
lichen_91,1,1
lichen_9,1,1
lichen_290,1,1
lichen_136,1,1
lichen_363,1,1
lichen_291,1,1
lichen_298,1,1
lichen_295,1,1
lichen_54,1,1
lichen_180,1,1
lichen_365,1,1
lichen_4,1,1
