,bgc,min.cosine,genome,BiG-SLiCE class
0,lichen_1.c00009_NODE_9_...region001,0.019267823,lichen_1,class-Polyketide
1,lichen_1.c00013_NODE_13...region001,0.038043872,lichen_1,class-Polyketide
2,lichen_1.c00014_NODE_14...region001,0.011382657,lichen_1,class-Polyketide
3,lichen_1.c00017_NODE_17...region001,0.056055971,lichen_1,class-Polyketide
4,lichen_1.c00020_NODE_20...region001,0.173857127,lichen_1,class-Polyketide
5,lichen_1.c00074_NODE_74...region001,0.068005827,lichen_1,class-NRP
6,lichen_1.c00123_NODE_12...region001,0.02173913,lichen_1,class-NRP
7,lichen_10.scaffold_101.region001,0.013088427,lichen_10,class-NRP
8,lichen_10.scaffold_1038.region001,0.068375329,lichen_10,class-NRP
9,lichen_10.scaffold_1052.region001,0.057971014,lichen_10,class-NRP
10,lichen_10.scaffold_1109.region001,0.057662254,lichen_10,class-Polyketide
11,lichen_10.scaffold_1203.region001,0.103106342,lichen_10,class-Terpene
12,lichen_10.scaffold_121.region001,0.0,lichen_10,class-Other
13,lichen_10.scaffold_1242.region001,0.011070111,lichen_10,class-Polyketide
14,lichen_10.scaffold_1340.region001,0.0,lichen_10,class-NRP
15,lichen_10.scaffold_1389.region001,0.025641026,lichen_10,class-NRP
16,lichen_10.scaffold_1432.region001,0.065217391,lichen_10,class-NRP
17,lichen_10.scaffold_150.region001,0.152183409,lichen_10,class-NRP
18,lichen_10.scaffold_152.region001,0.242429513,lichen_10,class-Terpene
19,lichen_10.scaffold_1535.region001,0.055383709,lichen_10,class-Polyketide
20,lichen_10.scaffold_1630.region001,0.12355447,lichen_10,class-NRP
21,lichen_10.scaffold_166.region001,0.04328043,lichen_10,class-Polyketide
22,lichen_10.scaffold_172.region001,0.029411765,lichen_10,class-Polyketide
23,lichen_10.scaffold_1728.region001,0.033685978,lichen_10,class-Polyketide
24,lichen_10.scaffold_1745.region001,0.073091071,lichen_10,class-NRP
25,lichen_10.scaffold_1746.region001,0.051546392,lichen_10,class-NRP
26,lichen_10.scaffold_179.region001,0.02310231,lichen_10,class-Polyketide
27,lichen_10.scaffold_181.region001,0.01618705,lichen_10,class-Polyketide
28,lichen_10.scaffold_1899.region001,0.032608696,lichen_10,class-NRP
29,lichen_10.scaffold_196.region001,0.03960396,lichen_10,class-NRP
30,lichen_10.scaffold_2093.region001,0.0,lichen_10,class-Terpene
31,lichen_10.scaffold_2110.region001,0.0,lichen_10,class-Terpene
32,lichen_10.scaffold_2138.region001,0.014492754,lichen_10,class-NRP
33,lichen_10.scaffold_2144.region001,0.007518797,lichen_10,class-NRP
34,lichen_10.scaffold_250.region001,0.026201819,lichen_10,class-Polyketide
35,lichen_10.scaffold_279.region001,0.105351881,lichen_10,class-Terpene
36,lichen_10.scaffold_281.region001,0.03806124,lichen_10,class-Other
37,lichen_10.scaffold_324.region001,0.141025641,lichen_10,class-NRP
38,lichen_10.scaffold_331.region001,0.064227147,lichen_10,class-Polyketide
39,lichen_10.scaffold_333.region001,0.327692702,lichen_10,class-NRP
40,lichen_10.scaffold_36.region001,0.033263511,lichen_10,class-NRP
41,lichen_10.scaffold_379.region001,0.043710891,lichen_10,class-Polyketide
42,lichen_10.scaffold_407.region001,0.010869565,lichen_10,class-NRP
43,lichen_10.scaffold_413.region001,0.01298652,lichen_10,class-Polyketide
44,lichen_10.scaffold_414.region001,0.05350874,lichen_10,class-Polyketide
45,lichen_10.scaffold_495.region001,0.0,lichen_10,class-Terpene
46,lichen_10.scaffold_50.region001,0.047081234,lichen_10,class-Polyketide
47,lichen_10.scaffold_53.region001,0.08557765,lichen_10,class-Polyketide
48,lichen_10.scaffold_550.region001,0.032552896,lichen_10,class-Polyketide
49,lichen_10.scaffold_556.region001,0.040718436,lichen_10,class-Polyketide
50,lichen_10.scaffold_57.region001,0.046926413,lichen_10,class-Polyketide
51,lichen_10.scaffold_574.region001,0.021009811,lichen_10,class-Polyketide
52,lichen_10.scaffold_58.region001,0.200694746,lichen_10,class-NRP
53,lichen_10.scaffold_584.region001,0.055967835,lichen_10,class-NRP
54,lichen_10.scaffold_625.region001,0.036796491,lichen_10,class-Polyketide
55,lichen_10.scaffold_69.region001,0.085663134,lichen_10,class-NRP
56,lichen_10.scaffold_717.region001,0.006349271,lichen_10,class-NRP
57,lichen_10.scaffold_722.region001,0.006385448,lichen_10,class-NRP
58,lichen_10.scaffold_73.region001,0.137193332,lichen_10,class-Terpene
59,lichen_10.scaffold_8.region001,0.018463126,lichen_10,class-NRP
60,lichen_10.scaffold_813.region001,0.027859118,lichen_10,class-NRP
61,lichen_10.scaffold_820.region001,0.223642827,lichen_10,class-NRP
62,lichen_10.scaffold_9.region001,0.243636837,lichen_10,class-NRP
63,lichen_10.scaffold_95.region001,0.012658228,lichen_10,class-NRP
64,lichen_10.scaffold_950.region001,0.018867925,lichen_10,class-Polyketide
65,lichen_10.scaffold_952.region001,0.005882353,lichen_10,class-Polyketide
66,lichen_10.scaffold_96.region001,0.233580811,lichen_10,class-NRP
67,lichen_101.c00005_NODE_5_...region001,0.023358393,lichen_101,class-NRP
68,lichen_101.c00038_NODE_38...region001,0.048675454,lichen_101,class-Polyketide
69,lichen_101.c00065_NODE_65...region001,0.080810839,lichen_101,class-Polyketide
70,lichen_101.c00071_NODE_71...region001,0.030092593,lichen_101,class-Polyketide
71,lichen_101.c00075_NODE_75...region001,0.02173913,lichen_101,class-NRP
72,lichen_101.c00149_NODE_14...region001,0.055093658,lichen_101,class-Polyketide
73,lichen_101.c00272_NODE_27...region001,0.107507086,lichen_101,class-Polyketide
74,lichen_101.c00326_NODE_32...region001,0.148218251,lichen_101,class-Polyketide
75,lichen_102.scaffold_1059.region001,0.19960947,lichen_102,class-Terpene
76,lichen_102.scaffold_1110.region001,0.0,lichen_102,class-Terpene
77,lichen_102.scaffold_1281.region001,0.25101695,lichen_102,class-Terpene
78,lichen_102.scaffold_1316.region001,0.010986204,lichen_102,class-NRP
79,lichen_102.scaffold_1505.region001,0.0,lichen_102,class-Terpene
80,lichen_102.scaffold_1666.region001,0.022768902,lichen_102,class-Polyketide
81,lichen_102.scaffold_1795.region001,0.016026099,lichen_102,class-NRP
82,lichen_102.scaffold_234.region001,0.065536616,lichen_102,class-Polyketide
