,assembly,BGC,cblast_score,,
0,130,scaffold_1506,,,130_scaffold_1506
1,130,scaffold_96,2436,,130_scaffold_96
2,130,scaffold_126,2232,,130_scaffold_126
3,130,scaffold_459,,,130_scaffold_459
4,130,scaffold_776,,,130_scaffold_776
5,130,scaffold_605,,,130_scaffold_605
6,130,scaffold_876,,,130_scaffold_876
7,130,scaffold_685,,,130_scaffold_685
8,130,scaffold_670,,,130_scaffold_670
9,130,scaffold_164,1127,,130_scaffold_164
10,130,scaffold_1421,,,130_scaffold_1421
11,130,scaffold_105,1474,,130_scaffold_105
12,130,scaffold_691,2894,,130_scaffold_691
13,130,scaffold_5,3018,,130_scaffold_5
14,130,scaffold_607,,,130_scaffold_607
15,130,scaffold_575,,,130_scaffold_575
16,130,scaffold_309,,,130_scaffold_309
17,130,scaffold_578,,,130_scaffold_578
18,130,scaffold_936,,,130_scaffold_936
19,130,scaffold_92,3524,,130_scaffold_92
20,130,scaffold_200,,,130_scaffold_200
21,130,scaffold_872,,,130_scaffold_872
22,130,scaffold_33,1382,,130_scaffold_33
23,130,scaffold_1705,,,130_scaffold_1705
24,130,scaffold_28,9929,,130_scaffold_28
25,130,scaffold_176,,,130_scaffold_176
26,130,scaffold_922,,,130_scaffold_922
27,130,scaffold_278,2093,,130_scaffold_278
28,130,scaffold_1683,,,130_scaffold_1683
29,130,scaffold_10,1934,,130_scaffold_10
30,130,scaffold_943,,,130_scaffold_943
31,130,scaffold_219,,,130_scaffold_219
32,130,scaffold_465,550,,130_scaffold_465
33,130,scaffold_1,12872,,130_scaffold_1
34,130,scaffold_500,,,130_scaffold_500
35,130,scaffold_182,7429,,130_scaffold_182
36,130,scaffold_470,,,130_scaffold_470
37,130,scaffold_163,4130,,130_scaffold_163
38,130,scaffold_53,3582,,130_scaffold_53
39,130,scaffold_451,,,130_scaffold_451
40,130,scaffold_138,,,130_scaffold_138
41,130,scaffold_345,1951,,130_scaffold_345
42,130,scaffold_236,3312,,130_scaffold_236
43,130,scaffold_1728,,,130_scaffold_1728
44,130,scaffold_388,,,130_scaffold_388
45,130,scaffold_1067,2700,,130_scaffold_1067
46,130,scaffold_1329,,,130_scaffold_1329
47,130,scaffold_30,,,130_scaffold_30
48,130,scaffold_597,467,,130_scaffold_597
49,130,scaffold_1311,,,130_scaffold_1311
50,130,scaffold_659,,,130_scaffold_659
51,130,scaffold_203,1366,,130_scaffold_203
52,130,scaffold_239,2789,,130_scaffold_239
53,130,scaffold_439,,,130_scaffold_439
54,130,scaffold_1094,,,130_scaffold_1094
55,130,scaffold_1415,,,130_scaffold_1415
56,130,scaffold_443,,,130_scaffold_443
57,130,scaffold_341,835,,130_scaffold_341
58,130,scaffold_928,,,130_scaffold_928
59,130,scaffold_272,,,130_scaffold_272
60,130,scaffold_127,,,130_scaffold_127
61,130,scaffold_207,,,130_scaffold_207
62,130,scaffold_1714,,,130_scaffold_1714
63,130,scaffold_646,,,130_scaffold_646
64,130,scaffold_650,,,130_scaffold_650
65,130,scaffold_778,,,130_scaffold_778
66,130,scaffold_15,,,130_scaffold_15
67,130,scaffold_631,1985,,130_scaffold_631
68,130,scaffold_524,2115,,130_scaffold_524
69,41,scaffold_2760,,,41_scaffold_2760
70,41,scaffold_821,2530,,41_scaffold_821
71,41,scaffold_57,4027,,41_scaffold_57
72,41,scaffold_507,2966,,41_scaffold_507
73,41,scaffold_551,2480,,41_scaffold_551
74,41,scaffold_1701,,,41_scaffold_1701
75,41,scaffold_700,,,41_scaffold_700
76,41,scaffold_2380,,,41_scaffold_2380
77,41,scaffold_1244,3591,,41_scaffold_1244
78,41,scaffold_341,2732,,41_scaffold_341
79,41,scaffold_968,,,41_scaffold_968
80,41,scaffold_443,3649,,41_scaffold_443
81,41,scaffold_1034,605,,41_scaffold_1034
82,41,scaffold_458,,,41_scaffold_458
83,41,scaffold_990,1424,,41_scaffold_990
84,41,scaffold_1568,,,41_scaffold_1568
85,41,scaffold_189,2268,,41_scaffold_189
86,41,scaffold_835,1670,,41_scaffold_835
87,41,scaffold_1231,2693,,41_scaffold_1231
88,41,scaffold_1549,800,,41_scaffold_1549
89,41,scaffold_165,2544,,41_scaffold_165
90,41,scaffold_2703,,,41_scaffold_2703
91,41,scaffold_133,3448,,41_scaffold_133
92,41,scaffold_1378,,,41_scaffold_1378
93,41,scaffold_1822,1587,,41_scaffold_1822
94,41,scaffold_168,4910,,41_scaffold_168
95,41,scaffold_1344,,,41_scaffold_1344
96,41,scaffold_1051,1325,,41_scaffold_1051
97,41,scaffold_515,1453,,41_scaffold_515
98,41,scaffold_194,4398,,41_scaffold_194
99,41,scaffold_503,,,41_scaffold_503
100,41,scaffold_48,3942,,41_scaffold_48
101,41,scaffold_1368,,,41_scaffold_1368
102,41,scaffold_1674,,,41_scaffold_1674
103,41,scaffold_429,1429,,41_scaffold_429
104,41,scaffold_1484,696,,41_scaffold_1484
105,41,scaffold_1962,646,,41_scaffold_1962
106,41,scaffold_1294,,,41_scaffold_1294
107,41,scaffold_706,642,,41_scaffold_706
108,41,scaffold_806,526,,41_scaffold_806
109,41,scaffold_387,1604,,41_scaffold_387
110,41,scaffold_408,1887,,41_scaffold_408
111,41,scaffold_161,2345,,41_scaffold_161
112,41,scaffold_560,,,41_scaffold_560
113,41,scaffold_237,1512,,41_scaffold_237
114,41,scaffold_2451,603,,41_scaffold_2451
115,41,scaffold_7,,,41_scaffold_7
116,41,scaffold_118,2968,,41_scaffold_118
117,41,scaffold_52,2543,,41_scaffold_52
118,41,scaffold_198,3273,,41_scaffold_198
119,41,scaffold_941,,,41_scaffold_941
120,41,scaffold_1203,,,41_scaffold_1203
121,41,scaffold_1902,1042,,41_scaffold_1902
122,41,scaffold_791,,,41_scaffold_791
123,41,scaffold_537,192,,41_scaffold_537
124,41,scaffold_294,1244,,41_scaffold_294
125,41,scaffold_2028,205,,41_scaffold_2028
126,41,scaffold_1850,,,41_scaffold_1850
127,41,scaffold_181,528,,41_scaffold_181
128,41,scaffold_943,1223,,41_scaffold_943
129,41,scaffold_157,565,,41_scaffold_157
130,41,scaffold_1075,,,41_scaffold_1075
131,41,scaffold_225,4979,,41_scaffold_225
132,41,scaffold_459,2516,,41_scaffold_459
133,41,scaffold_454,1492,,41_scaffold_454
134,41,scaffold_567,3019,,41_scaffold_567
135,41,scaffold_985,1945,,41_scaffold_985
136,41,scaffold_1933,1197,,41_scaffold_1933
137,41,scaffold_2248,,,41_scaffold_2248
138,41,scaffold_613,811,,41_scaffold_613
139,41,scaffold_63,1811,,41_scaffold_63
140,41,scaffold_528,1234,,41_scaffold_528
141,41,scaffold_400,1784,,41_scaffold_400
142,41,scaffold_227,501,,41_scaffold_227
143,41,scaffold_231,,,41_scaffold_231
144,41,scaffold_382,2736,,41_scaffold_382
145,41,scaffold_75,2517,,41_scaffold_75
146,41,scaffold_108,4617,,41_scaffold_108
147,41,scaffold_739,1218,,41_scaffold_739
148,41,scaffold_611,3064,,41_scaffold_611
149,41,scaffold_1266,290,,41_scaffold_1266
150,334,scaffold_572,,,334_scaffold_572
151,334,scaffold_10,,,334_scaffold_10
152,334,scaffold_950,,,334_scaffold_950
153,334,scaffold_1086,2384,,334_scaffold_1086
154,334,scaffold_12,,,334_scaffold_12
155,334,scaffold_570,1146,,334_scaffold_570
156,334,scaffold_89,,,334_scaffold_89
157,334,scaffold_628,2313,,334_scaffold_628
158,334,scaffold_1121,,,334_scaffold_1121
159,334,scaffold_376,,,334_scaffold_376
160,334,scaffold_649,,,334_scaffold_649
161,334,scaffold_65,5563,,334_scaffold_65
162,334,scaffold_547,,,334_scaffold_547
163,334,scaffold_14,,,334_scaffold_14
164,334,scaffold_177,3433,,334_scaffold_177
165,334,scaffold_295,,,334_scaffold_295
166,334,scaffold_784,,,334_scaffold_784
167,334,scaffold_329,,,334_scaffold_329
168,334,scaffold_915,2668,,334_scaffold_915
169,334,scaffold_254,,,334_scaffold_254
170,334,scaffold_979,,,334_scaffold_979
171,334,scaffold_26,,,334_scaffold_26
172,334,scaffold_105,,,334_scaffold_105
173,334,scaffold_148,,,334_scaffold_148
174,334,scaffold_1026,,,334_scaffold_1026
175,334,scaffold_440,,,334_scaffold_440
176,334,scaffold_187,,,334_scaffold_187
177,334,scaffold_244,,,334_scaffold_244
178,244,scaffold_5,3506,,244_scaffold_5
179,244,scaffold_285,,,244_scaffold_285
180,244,scaffold_93,,,244_scaffold_93
181,244,scaffold_232,,,244_scaffold_232
182,244,scaffold_55,,,244_scaffold_55
183,244,scaffold_95,1496,,244_scaffold_95
184,244,scaffold_1,2432,,244_scaffold_1
185,244,scaffold_116,,,244_scaffold_116
186,244,scaffold_34,,,244_scaffold_34
187,244,scaffold_3,,,244_scaffold_3
188,244,scaffold_199,1304,,244_scaffold_199
189,244,scaffold_138,2269,,244_scaffold_138
190,244,scaffold_120,,,244_scaffold_120
191,244,scaffold_94,,,244_scaffold_94
192,244,scaffold_162,,,244_scaffold_162
193,244,scaffold_155,,,244_scaffold_155
194,244,scaffold_40,,,244_scaffold_40
195,244,scaffold_2,,,244_scaffold_2
196,244,scaffold_314,,,244_scaffold_314
197,244,scaffold_4,1853,,244_scaffold_4
198,244,scaffold_50,,,244_scaffold_50
199,244,scaffold_46,,,244_scaffold_46
200,244,scaffold_316,,,244_scaffold_316
201,244,scaffold_25,1398,,244_scaffold_25
202,244,scaffold_396,,,244_scaffold_396
203,244,scaffold_292,,,244_scaffold_292
204,244,scaffold_92,,,244_scaffold_92
205,102,scaffold_1666,,,102_scaffold_1666
206,102,scaffold_1795,,,102_scaffold_1795
207,102,scaffold_234,1453,,102_scaffold_234
208,102,scaffold_1316,,,102_scaffold_1316
209,102,scaffold_92,2474,,102_scaffold_92
210,102,scaffold_496,,,102_scaffold_496
