Accession,Hit,Score,Database,Assembly
F5Y09DRAFT_253308,PAXG_swissprot,514.3,5,GCA_022495085
F5Y09DRAFT_314950,PAXG_swissprot,485.5,5,GCA_022495085
AC578_7790,PAXG_swissprot,511.9,5,GCA_001578235
TMEN_8611,PAXG_swissprot,501.7,5,GCA_003118255
KXV83_002885,PAXM_swissprot,646.1,5,GCA_020501185
KXV83_000212,PAXM_swissprot,638.3,5,GCA_020501185
KXV83_009481,PAXM_swissprot,610.2,5,GCA_020501185
KXV83_009337,PAXG_swissprot,537.1,5,GCA_020501185
KXV83_007155,PAXG_swissprot,511.8,5,GCA_020501185
KXV83_000213,PAXB_swissprot,293.7,5,GCA_020501185
CNMCM6805_009643,PAXC_swissprot,606.7,5,GCA_012656285
CNMCM6805_005916,PAXM_swissprot,644.2,5,GCA_012656285
CNMCM6805_009641,PAXM_swissprot,635.6,5,GCA_012656285
CNMCM6805_009364,PAXM_swissprot,630.7,5,GCA_012656285
CNMCM6805_001795,PAXM_swissprot,615.6,5,GCA_012656285
CNMCM6805_005917,PAXG_swissprot,539.7,5,GCA_012656285
CNMCM6805_006105,PAXG_swissprot,512.4,5,GCA_012656285
CNMCM6805_005407,PAXB_swissprot,339.3,5,GCA_012656285
CNMCM6805_009365,PAXB_swissprot,299.4,5,GCA_012656285
E4U54_001247,PAXG_swissprot,514.3,5,GCA_018360185
CBS147324_7290,PAXC_swissprot,655.3,5,GCA_023137965
CBS147324_9876,PAXC_swissprot,562.9,5,GCA_023137965
CBS147324_9877,PAXM_swissprot,679.3,5,GCA_023137965
CBS147324_1001,PAXG_swissprot,513.7,5,GCA_023137965
PENSOL_c084G03039,PAXC_swissprot,625.2,5,GCA_002072235
PENSOL_c045G11998,PAXM_swissprot,679.0,5,GCA_002072235
PENSOL_c084G00117,PAXM_swissprot,623.6,5,GCA_002072235
PENSOL_c019G04491,PAXG_swissprot,503.8,5,GCA_002072235
PENSOL_c021G00426,PAXG_swissprot,502.9,5,GCA_002072235
PENSOL_c084G06667,PAXB_swissprot,394.3,5,GCA_002072235
KXX47_008311,PAXM_swissprot,610.2,5,GCA_020498765
KXX47_007712,PAXM_swissprot,562.8,5,GCA_020498765
KXX47_008938,PAXG_swissprot,537.1,5,GCA_020498765
KXX47_005131,PAXG_swissprot,511.8,5,GCA_020498765
KXX47_007713,PAXB_swissprot,297.9,5,GCA_020498765
CBS147343_3295,PAXC_swissprot,652.6,5,GCA_023137675
CBS147343_5358,PAXC_swissprot,562.9,5,GCA_023137675
CBS147343_5357,PAXM_swissprot,679.3,5,GCA_023137675
CBS147343_7596,PAXM_swissprot,511.7,5,GCA_023137675
CBS147343_10962,PAXG_swissprot,513.7,5,GCA_023137675
HBI79_130660,PAXG_swissprot,471.1,5,GCA_020572985
J3F81_003244,PAXG_swissprot,429.7,5,GCA_027577695
F5Y06DRAFT_305120,PAXC_swissprot,543.3,5,GCA_022497025
F5Y06DRAFT_305116,PAXM_swissprot,593.4,5,GCA_022497025
F5Y06DRAFT_290213,PAXG_swissprot,539.3,5,GCA_022497025
F5Y06DRAFT_100558,PAXB_swissprot,306.5,5,GCA_022497025
ABOM_008443,PAXC_swissprot,598.5,5,GCA_001792695
ABOM_008442,PAXM_swissprot,693.7,5,GCA_001792695
ABOM_005790,PAXM_swissprot,618.1,5,GCA_001792695
ABOM_002937,PAXM_swissprot,514.4,5,GCA_001792695
ABOM_008444,PAXG_swissprot,525.8,5,GCA_001792695
ABOM_002404,PAXG_swissprot,514.6,5,GCA_001792695
ABOM_002875,PAXB_swissprot,379.2,5,GCA_001792695
BDV34DRAFT_216682,PAXC_swissprot,638.7,5,GCA_009176385
BDV34DRAFT_237870,PAXM_swissprot,689.4,5,GCA_009176385
BDV34DRAFT_232595,PAXM_swissprot,613.9,5,GCA_009176385
BDV34DRAFT_228435,PAXM_swissprot,507.0,5,GCA_009176385
BDV34DRAFT_150570,PAXG_swissprot,520.2,5,GCA_009176385
BDV34DRAFT_219954,PAXG_swissprot,513.9,5,GCA_009176385
BDV34DRAFT_222857,PAXG_swissprot,494.0,5,GCA_009176385
BDV34DRAFT_235663,PAXB_swissprot,423.6,5,GCA_009176385
P174DRAFT_392533,PAXC_swissprot,605.4,5,GCA_002847465
P174DRAFT_497469,PAXC_swissprot,504.9,5,GCA_002847465
P174DRAFT_473479,PAXM_swissprot,703.7,5,GCA_002847465
P174DRAFT_513878,PAXM_swissprot,637.7,5,GCA_002847465
P174DRAFT_424393,PAXM_swissprot,637.4,5,GCA_002847465
P174DRAFT_377278,PAXM_swissprot,630.9,5,GCA_002847465
P174DRAFT_502760,PAXM_swissprot,537.0,5,GCA_002847465
P174DRAFT_463925,PAXM_swissprot,511.5,5,GCA_002847465
P174DRAFT_377607,PAXG_swissprot,537.3,5,GCA_002847465
P174DRAFT_420609,PAXG_swissprot,512.9,5,GCA_002847465
P174DRAFT_511177,PAXG_swissprot,503.5,5,GCA_002847465
P174DRAFT_413359,PAXG_swissprot,469.3,5,GCA_002847465
P174DRAFT_513879,PAXB_swissprot,394.4,5,GCA_002847465
P174DRAFT_497465,PAXB_swissprot,355.6,5,GCA_002847465
P174DRAFT_380360,PAXB_swissprot,267.7,5,GCA_002847465
LQ344_001849,PAXG_swissprot,497.5,5,GCA_023645825
IW140_000159,PAXG_swissprot,427.5,5,GCA_027578555
BDV37DRAFT_297695,PAXC_swissprot,623.9,5,GCA_009193645
BDV37DRAFT_275210,PAXM_swissprot,681.5,5,GCA_009193645
BDV37DRAFT_292070,PAXM_swissprot,618.2,5,GCA_009193645
BDV37DRAFT_297086,PAXM_swissprot,506.9,5,GCA_009193645
BDV37DRAFT_284540,PAXG_swissprot,515.1,5,GCA_009193645
BDV37DRAFT_271420,PAXG_swissprot,475.9,5,GCA_009193645
BDV37DRAFT_290295,PAXB_swissprot,412.2,5,GCA_009193645
N0V85_005342,PAXG_swissprot,546.7,5,GCA_027946425
PEGY_LOCUS4023,PAXC_swissprot,610.8,5,GCA_911456345
PEGY_LOCUS2313,PAXM_swissprot,701.9,5,GCA_911456345
PEGY_LOCUS4025,PAXM_swissprot,652.9,5,GCA_911456345
PEGY_LOCUS4026,PAXG_swissprot,519.9,5,GCA_911456345
PEGY_LOCUS9023,PAXG_swissprot,503.5,5,GCA_911456345
PEGY_LOCUS8616,PAXG_swissprot,482.4,5,GCA_911456345
PEGY_LOCUS8527,PAXB_swissprot,331.5,5,GCA_911456345
M409DRAFT_63562,PAXG_swissprot,504.5,5,GCA_010093935
KXV31_002262,PAXM_swissprot,646.5,5,GCA_020502095
KXV31_002942,PAXM_swissprot,610.2,5,GCA_020502095
KXV31_002264,PAXG_swissprot,539.2,5,GCA_020502095
KXV31_003620,PAXG_swissprot,511.8,5,GCA_020502095
KXV31_005175,PAXB_swissprot,293.7,5,GCA_020502095
AnigIFM50267_006148,PAXC_swissprot,575.2,5,GCA_027923745
AnigIFM50267_003511,PAXC_swissprot,562.9,5,GCA_027923745
AnigIFM50267_003509,PAXM_swissprot,630.8,5,GCA_027923745
AnigIFM50267_006147,PAXG_swissprot,541.3,5,GCA_027923745
AnigIFM50267_004476,PAXG_swissprot,514.6,5,GCA_027923745
AnigIFM50267_003510,PAXB_swissprot,268.7,5,GCA_027923745
EV154DRAFT_598286,PAXG_swissprot,466.2,5,GCA_025094135
EV154DRAFT_553565,PAXG_swissprot,435.3,5,GCA_025094135
ALTATR162_LOCUS9711,PAXG_swissprot,468.8,5,GCA_907166805
BO71DRAFT_456637,PAXC_swissprot,562.3,5,GCA_003184645
BO71DRAFT_456636,PAXM_swissprot,676.7,5,GCA_003184645
BO71DRAFT_392985,PAXM_swissprot,495.2,5,GCA_003184645
BO71DRAFT_395201,PAXG_swissprot,509.0,5,GCA_003184645
BO71DRAFT_329378,PAXB_swissprot,323.8,5,GCA_003184645
KXX14_003975,PAXM_swissprot,646.9,5,GCA_020498895
KXX14_008239,PAXM_swissprot,638.3,5,GCA_020498895
KXX14_001849,PAXM_swissprot,610.2,5,GCA_020498895
KXX14_006161,PAXG_swissprot,539.2,5,GCA_020498895
KXX14_005253,PAXG_swissprot,511.8,5,GCA_020498895
KXX14_008240,PAXB_swissprot,297.9,5,GCA_020498895
KXX35_001947,PAXM_swissprot,646.5,5,GCA_020500075
KXX35_000958,PAXM_swissprot,610.4,5,GCA_020500075
KXX35_001945,PAXG_swissprot,539.2,5,GCA_020500075
KXX35_004636,PAXG_swissprot,511.8,5,GCA_020500075
KXX35_009272,PAXB_swissprot,297.9,5,GCA_020500075
EURHEDRAFT_516679,PAXM_swissprot,499.8,5,GCA_000600275
EURHEDRAFT_462848,PAXG_swissprot,508.7,5,GCA_000600275
AtWU_03811,PAXC_swissprot,569.6,5,GCA_013340325
AtWU_06561,PAXC_swissprot,554.7,5,GCA_013340325
AtWU_06559,PAXM_swissprot,666.5,5,GCA_013340325
AtWU_03429,PAXM_swissprot,504.0,5,GCA_013340325
AtWU_03812,PAXG_swissprot,519.6,5,GCA_013340325
AtWU_08618,PAXG_swissprot,516.5,5,GCA_013340325
AtWU_06560,PAXB_swissprot,317.7,5,GCA_013340325
KXV51_004211,PAXM_swissprot,646.3,5,GCA_020501695
KXV51_001471,PAXM_swissprot,610.2,5,GCA_020501695
KXV51_005773,PAXG_swissprot,539.2,5,GCA_020501695
KXV51_005082,PAXG_swissprot,511.8,5,GCA_020501695
KXV51_007925,PAXB_swissprot,297.9,5,GCA_020501695
CKF44_07780,PAXG_swissprot,411.9,5,GCA_002216725
BO87DRAFT_313855,PAXC_swissprot,569.8,5,GCA_003184625
BO87DRAFT_459196,PAXC_swissprot,560.9,5,GCA_003184625
BO87DRAFT_308524,PAXM_swissprot,667.8,5,GCA_003184625
BO87DRAFT_313766,PAXM_swissprot,651.8,5,GCA_003184625
BO87DRAFT_313773,PAXG_swissprot,531.8,5,GCA_003184625
BO87DRAFT_379935,PAXG_swissprot,516.4,5,GCA_003184625
BO87DRAFT_401471,PAXB_swissprot,358.9,5,GCA_003184625
BO87DRAFT_57449,PAXB_swissprot,314.9,5,GCA_003184625
ARAM_006149,PAXC_swissprot,512.6,5,GCA_000986645
ARAM_006151,PAXM_swissprot,656.4,5,GCA_000986645
ARAM_007366,PAXG_swissprot,511.1,5,GCA_000986645
P168DRAFT_272789,PAXC_swissprot,586.4,5,GCA_002847485
P168DRAFT_272784,PAXM_swissprot,667.9,5,GCA_002847485
P168DRAFT_283735,PAXG_swissprot,510.0,5,GCA_002847485
P168DRAFT_263255,PAXG_swissprot,500.4,5,GCA_002847485
P168DRAFT_312905,PAXG_swissprot,442.7,5,GCA_002847485
P168DRAFT_328963,PAXB_swissprot,434.2,5,GCA_002847485
K458DRAFT_433455,PAXG_swissprot,463.0,5,GCA_010405425
M231_06702,PAXG_swissprot,412.2,5,GCA_004117975
KXX58_000684,PAXM_swissprot,610.4,5,GCA_020499115
KXX58_004023,PAXM_swissprot,599.9,5,GCA_020499115
KXX58_006100,PAXM_swissprot,546.3,5,GCA_020499115
KXX58_005494,PAXG_swissprot,539.2,5,GCA_020499115
KXX58_004436,PAXG_swissprot,511.8,5,GCA_020499115
KXX58_006099,PAXB_swissprot,293.7,5,GCA_020499115
HBI59_005780,PAXG_swissprot,470.5,5,GCA_020580695
KCU74_g19063,PAXG_swissprot,516.8,5,GCA_019924995
KCU74_g19067,PAXG_swissprot,514.5,5,GCA_019924995
BO80DRAFT_453475,PAXG_swissprot,625.9,5,GCA_003184845
BO80DRAFT_448139,PAXC_swissprot,561.3,5,GCA_003184845
BO80DRAFT_453476,PAXM_swissprot,661.0,5,GCA_003184845
BO80DRAFT_363328,PAXM_swissprot,629.2,5,GCA_003184845
BO80DRAFT_127454,PAXM_swissprot,488.2,5,GCA_003184845
BO80DRAFT_478948,PAXM_swissprot,475.2,5,GCA_003184845
BO80DRAFT_427213,PAXG_swissprot,515.3,5,GCA_003184845
BO80DRAFT_185430,PAXB_swissprot,305.6,5,GCA_003184845
BO99DRAFT_395120,PAXC_swissprot,565.3,5,GCA_003184705
BO99DRAFT_450685,PAXM_swissprot,652.2,5,GCA_003184705
BO99DRAFT_462243,PAXM_swissprot,507.5,5,GCA_003184705
