,BGC,GCF,GCC
0,AE016814.2.region001.gbk,GCF_270,GCC_2
1,AE016817.6.region001.gbk,GCF_417,GCC_46
2,AE016819.5.region001.gbk,GCF_1070,GCC_75
3,AE016820.4.region001.gbk,GCF_288,GCC_30
4,AE017343.1.region001.gbk,GCF_1063,GCC_75
5,AE017344.1.region001.gbk,GCF_288,GCC_30
6,AE017347.1.region001.gbk,GCF_981,GCC_46
7,AE017350.1.region001.gbk,GCF_375,GCC_46
8,AP012214.1.region001.gbk,GCF_282,GCC_75
9,AP012220.1.region001.gbk,GCF_1684,GCC_46
10,AP014600.1.region001.gbk,GCF_282,GCC_75
11,AP014606.1.region001.gbk,GCF_1684,GCC_46
12,AP024416.1.region001.gbk,GCF_4675,GCC_58
13,AP024416.1.region002.gbk,GCF_618,GCC_58
14,AP024417.1.region001.gbk,GCF_29,GCC_58
15,AP024417.1.region002.gbk,GCF_196,GCC_58
16,AP024418.1.region001.gbk,GCF_4271,GCC_4
17,AP024418.1.region002.gbk,GCF_29,GCC_58
18,AP024418.1.region003.gbk,GCF_143,GCC_58
19,AP024418.1.region004.gbk,GCF_61,GCC_36
20,AP024418.1.region005.gbk,GCF_582,GCC_46
21,AP024418.1.region006.gbk,GCF_249,GCC_58
22,AP024418.1.region007.gbk,GCF_4301,GCC_52
23,AP024418.1.region008.gbk,GCF_4015,GCC_28
24,AP024419.1.region001.gbk,GCF_4311,GCC_28
25,AP024419.1.region002.gbk,GCF_3183,GCC_46
26,AP024419.1.region003.gbk,GCF_82,GCC_52
27,AP024419.1.region004.gbk,GCF_4831,GCC_3
28,AP024419.1.region005.gbk,GCF_18,GCC_58
29,AP024419.1.region006.gbk,GCF_3501,GCC_46
30,AP024419.1.region007.gbk,GCF_71,GCC_58
31,AP024420.1.region001.gbk,GCF_18,GCC_58
32,AP024420.1.region002.gbk,GCF_618,GCC_58
33,AP024420.1.region003.gbk,GCF_2992,GCC_46
34,AP024420.1.region004.gbk,GCF_1124,GCC_58
35,AP024421.1.region001.gbk,GCF_3193,GCC_46
36,AP024421.1.region002.gbk,GCF_3025,GCC_4
37,AP024421.1.region003.gbk,GCF_1664,GCC_30
38,AP024421.1.region004.gbk,GCF_3825,GCC_4
39,AP024421.1.region005.gbk,GCF_4159,GCC_4
40,AP024422.1.region001.gbk,GCF_29,GCC_58
41,AP024422.1.region002.gbk,GCF_416,GCC_58
42,AP024422.1.region003.gbk,GCF_4865,GCC_75
43,AP024423.1.region001.gbk,GCF_1,GCC_58
44,AP024423.1.region002.gbk,GCF_10,GCC_58
45,AP024423.1.region003.gbk,GCF_302,GCC_30
46,AP024423.1.region004.gbk,GCF_3532,GCC_46
47,AP024425.1.region001.gbk,GCF_29,GCC_58
48,AP024425.1.region002.gbk,GCF_591,GCC_36
49,AP024425.1.region003.gbk,GCF_709,GCC_58
50,AP024425.1.region004.gbk,GCF_998,GCC_12
51,AP024425.1.region005.gbk,GCF_130,GCC_18
52,AP024425.1.region006.gbk,GCF_1447,GCC_28
53,AP024425.1.region007.gbk,GCF_512,GCC_58
54,AP024425.1.region008.gbk,GCF_4783,GCC_75
55,AP024425.1.region009.gbk,GCF_29,GCC_58
56,AP024425.1.region010.gbk,GCF_4046,GCC_28
