Assembly,estimated_coverage,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# total reads,# left,# right,Mapped (%),Properly paired (%),Avg. coverage depth,Coverage >= 1x (%),# N's per 100 kbp,genes,mRNA,tRNA,ncRNA,rRNA,avg_gene_length,BGC_count,kc_proportion,BGC_types,total_BGC_length,BGC_mean_length,BGC_median_length,contig_edge_proportion,average_min_cosine_score,GCC min > 0.4,novelty score,Query,Accession,Identity,Bitscore,E-value,Subject Name,BUSCO - C,BUSCO - S,BUSCO - D,BUSCO - F,BUSCO - M,isolate_class,isolate_order,isolate_family,isolate_genus,Host_ID,Host_location,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Photobiont,Growth_form,Macroclimate
1,7.94,29376,10468,131,0,0,0,29822526,19470784,795749,0,0,0,20079,9371,26325374,51.96,1548,977,5392,10745,2215151,1106982,1106982,85.99,85.56,8,100,0.49,10421,10367,54,0,0,1038.36,7,0.14,"T1PKS, NRPS-like, NRPS",47884,6840.57,7310,1,0.055478915,0.055478915,0.975440778,NODE_24564_length_373_cov_7.337398|F|ITS1,NR_166015,100,339,9.35E-94,Trichoderma caribbaeum var. caribbaeum CBS 119093 ITS region; from TYPE material,651 (49.62%),647 (49.31%),4 (0.3%),454 (34.6%),207 (15.78%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
2,1.18,9865,55,0,0,0,0,2995996,77858,0,0,0,0,608,3588,422249,41.45,645,554,230,407,282333,141077,141077,16.78,16.53,11,99.92,73.42,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_21_length_1314_cov_104.377284|F|ITS2,NR_152948,100,322,8.89E-89,Mucor hiemalis f. hiemalis CBS 201.65 ITS region; from TYPE material,5 (0.4%),5 (0.4%),0,15 (1.1%),1292 (98.5%),Mucoromycetes,Mucorales,Mucoraceae,Mucor,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
3,0.75,7512,30,0,0,0,0,2230939,47631,0,0,0,0,365,4632,251402,40.44,628,549,137,245,180575,90220,90220,13.4,13.13,9,99.82,135.24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_12_length_1504_cov_50.565217|F|ITS2,NR_152948,100,322,8.89E-89,Mucor hiemalis f. hiemalis CBS 201.65 ITS region; from TYPE material,3 (0.2%),3 (0.2%),0,6 (0.5%),1303 (99.3%),Mucoromycetes,Mucorales,Mucoraceae,Mucor,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
4,82.94,3325,1114,150,40,5,1,4562683,3427476,1491769,729433,179296,67618,2093,67618,4107569,58.94,3027,1354,296,817,7343207,3669819,3669819,95.35,94.83,233,99.95,47.96,,,,,,,1,0,RiPP-like,6750,6750,6750,1,0.207815162,0.207815162,1.016781804,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
5,0.51,5586,22,0,0,0,0,1626070,29487,0,0,0,0,244,2233,169957,42.34,666,563,94,164,120270,60080,60080,12.09,11.82,8,99.92,70.61,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_1694_length_287_cov_31.146552|F|ITS2,NR_152948,100,259,5.50E-70,Mucor hiemalis f. hiemalis CBS 201.65 ITS region; from TYPE material,2 (0.2%),2 (0.2%),0,6 (0.5%),1304 (99.3%),Mucoromycetes,Mucorales,Mucoraceae,Mucor,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
6,4.58,30831,9828,55,0,0,0,28720832,17131269,312028,0,0,0,20676,8823,24848150,52.05,1379,892,5806,11422,1257263,628398,628398,85.57,83.96,5,100,3.14,9396,9356,40,0,0,896.78,2,0.5,T1PKS,12954,6477,6477,1,0.034776787,0.034776787,0.491107232,NODE_8262_length_1121_cov_26.246479|F|ITS2,NR_154571,99.398,302,1.10E-82,Trichoderma hunanense HMAS 248841 ITS region; from TYPE material,488 (37.2%),485 (36.97%),3 (0.23%),456 (34.76%),368 (28.05%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
7,6.42,36476,14414,659,51,1,0,44088602,32453386,4533429,697470,39594,0,24485,39594,39611516,53.71,2099,1209,5687,11916,1788953,891250,891250,93.37,85.71,5,99.98,5.6,13741,13529,212,0,0,804.42,2,0,terpene,19201,9600.5,9600.5,1,0,0,0,NODE_32282_length_336_cov_5.617225|F|ITS1,NR_167951,83.691,211,2.89E-55,Psathyrella jacobssonii GB LO256-92 ITS region; from TYPE material,291 (22.18%),289 (22.03%),2 (0.15%),460 (35.06%),561 (42.76%),Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
8,2.02,50663,1022,3,0,0,0,21156311,1264775,16129,0,0,0,12128,5610,8531556,54.14,687,579,4754,8151,545498,272654,272654,36.42,33.21,3,99.97,24.9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_776_length_1053_cov_26.201403|F|ITS2,NR_156664,100,302,1.08E-82,Pestalotiopsis dianellae ITS region; from TYPE material,50 (3.8%),50 (3.8%),0,264 (20.1%),998 (76.1%),Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
9,2.98,35213,4855,1,0,0,0,22601727,6818183,7537,0,0,0,18538,7537,16275365,52.8,904,671,6245,11501,817673,408667,408667,66.11,63.91,4,99.99,3.69,9260,9237,23,0,0,652.37,1,0,T1PKS,7537,7537,7537,1,0.055282184,0.055282184,0.656944754,NODE_25893_length_388_cov_2.536398|F,NR_077177,97.183,475,1.54E-134,Trichoderma spirale DAOM 183974 ITS region; from TYPE material,203 (15.47%),203 (15.47%),0 (0.0%),525 (40.02%),584 (44.51%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
10,17.29,9753,6978,2144,538,7,0,32628400,31125176,18580379,7419682,202532,0,8365,38309,32130049,49.35,5903,3293,1682,3496,4788295,2391398,2391398,98.99,98.5,18,99.99,2.33,11864,11730,134,0,0,1433.31,60,0.13,"indole, NRPS-like, terpene, T1PKS, NRPS",672771,11212.85,10655.5,1,0.063076996,0.063076996,1.871301642,NODE_6879_length_1048_cov_72.920738|F|ITS2,NR_137916,100,298,1.37E-81,Penicillium sublectaticum CBS 138217 ITS region; from TYPE material,1232 (93.9%),1226 (93.45%),6 (0.46%),61 (4.65%),19 (1.45%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,222,Battle Hill,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,crocata,Cyano,Foliose,"Mild, sub-humid"
