Accession,Hit,Score,Database,Assembly
AtWU_03811,cur_C_accs,533.3,5,GCA_013340325
AtWU_06561,cur_C_accs,528.1,5,GCA_013340325
AtWU_06559,cur_M_accs,672.1,5,GCA_013340325
AtWU_03812,cur_G_accs,536.8,5,GCA_013340325
KXX14_003975,cur_M_accs,580.6,5,GCA_020498895
KXX14_006161,cur_G_accs,524.3,5,GCA_020498895
KXX35_001947,cur_M_accs,580.4,5,GCA_020500075
KXX35_001945,cur_G_accs,524.3,5,GCA_020500075
BO71DRAFT_456637,cur_C_accs,527.1,5,GCA_003184645
BO71DRAFT_329378,cur_B_accs,338.2,5,GCA_003184645
BO71DRAFT_456636,cur_M_accs,669.1,5,GCA_003184645
PEGY_LOCUS4023,cur_C_accs,563.7,5,GCA_911456345
PEGY_LOCUS8527,cur_B_accs,339.2,5,GCA_911456345
PEGY_LOCUS4025,cur_M_accs,702.1,5,GCA_911456345
PEGY_LOCUS4026,cur_G_accs,563.1,5,GCA_911456345
PEGY_LOCUS8616,cur_G_accs,475.3,5,GCA_911456345
AnigIFM50267_006148,cur_C_accs,539.4,5,GCA_027923745
AnigIFM50267_003511,cur_C_accs,534.4,5,GCA_027923745
AnigIFM50267_003509,cur_M_accs,628.7,5,GCA_027923745
AnigIFM50267_006147,cur_G_accs,558.9,5,GCA_027923745
KXV31_002262,cur_M_accs,580.4,5,GCA_020502095
KXV31_002264,cur_G_accs,524.3,5,GCA_020502095
KXX58_005494,cur_G_accs,524.3,5,GCA_020499115
P168DRAFT_272789,cur_C_accs,553.2,5,GCA_002847485
P168DRAFT_328963,cur_B_accs,451.5,5,GCA_002847485
P168DRAFT_272784,cur_M_accs,709.4,5,GCA_002847485
P168DRAFT_283735,cur_G_accs,528.8,5,GCA_002847485
BO87DRAFT_459196,cur_C_accs,532.9,5,GCA_003184625
BO87DRAFT_313855,cur_C_accs,532.5,5,GCA_003184625
BO87DRAFT_401471,cur_B_accs,355.6,5,GCA_003184625
BO87DRAFT_308524,cur_M_accs,672.2,5,GCA_003184625
BO87DRAFT_313766,cur_M_accs,645.3,5,GCA_003184625
BO87DRAFT_313773,cur_G_accs,545.3,5,GCA_003184625
KXV51_004211,cur_M_accs,580.5,5,GCA_020501695
KXV51_005773,cur_G_accs,524.3,5,GCA_020501695
ARAM_006149,cur_C_accs,483.9,5,GCA_000986645
ARAM_006151,cur_M_accs,651.3,5,GCA_000986645
PENSOL_c084G03039,cur_C_accs,576.0,5,GCA_002072235
PENSOL_c084G06667,cur_B_accs,408.0,5,GCA_002072235
PENSOL_c084G00117,cur_M_accs,680.6,5,GCA_002072235
PENSOL_c019G04491,cur_G_accs,481.5,5,GCA_002072235
CBS147324_7290,cur_G_accs,643.6,5,GCA_023137965
CBS147324_9876,cur_C_accs,534.4,5,GCA_023137965
CBS147324_9877,cur_M_accs,673.7,5,GCA_023137965
CNMCM6805_009643,cur_C_accs,570.7,5,GCA_012656285
CNMCM6805_009641,cur_M_accs,648.4,5,GCA_012656285
CNMCM6805_005916,cur_M_accs,587.1,5,GCA_012656285
CNMCM6805_005917,cur_G_accs,524.5,5,GCA_012656285
KXV83_002885,cur_M_accs,580.0,5,GCA_020501185
KXV83_009337,cur_G_accs,522.9,5,GCA_020501185
BDV37DRAFT_297695,cur_G_accs,647.3,5,GCA_009193645
BDV37DRAFT_290295,cur_B_accs,420.0,5,GCA_009193645
BDV37DRAFT_275210,cur_M_accs,722.0,5,GCA_009193645
BDV37DRAFT_271420,cur_G_accs,467.9,5,GCA_009193645
BDV34DRAFT_216682,cur_G_accs,659.3,5,GCA_009176385
BDV34DRAFT_235663,cur_B_accs,438.3,5,GCA_009176385
BDV34DRAFT_237870,cur_M_accs,737.1,5,GCA_009176385
BDV34DRAFT_150570,cur_G_accs,525.4,5,GCA_009176385
BDV34DRAFT_222857,cur_G_accs,487.1,5,GCA_009176385
P174DRAFT_392533,cur_C_accs,570.5,5,GCA_002847465
P174DRAFT_497469,cur_C_accs,486.1,5,GCA_002847465
P174DRAFT_513879,cur_B_accs,410.8,5,GCA_002847465
P174DRAFT_497465,cur_B_accs,368.3,5,GCA_002847465
P174DRAFT_377278,cur_M_accs,668.2,5,GCA_002847465
P174DRAFT_513878,cur_M_accs,653.2,5,GCA_002847465
P174DRAFT_473479,cur_M_accs,612.5,5,GCA_002847465
P174DRAFT_424393,cur_M_accs,578.7,5,GCA_002847465
P174DRAFT_377607,cur_G_accs,521.4,5,GCA_002847465
P174DRAFT_511177,cur_G_accs,487.0,5,GCA_002847465
P174DRAFT_413359,cur_G_accs,476.9,5,GCA_002847465
CBS147343_3295,cur_G_accs,639.6,5,GCA_023137675
CBS147343_5358,cur_C_accs,534.4,5,GCA_023137675
CBS147343_5357,cur_M_accs,673.7,5,GCA_023137675
KXX47_008938,cur_G_accs,522.9,5,GCA_020498765
F5Y06DRAFT_305120,cur_C_accs,519.8,5,GCA_022497025
F5Y06DRAFT_305116,cur_M_accs,610.7,5,GCA_022497025
F5Y06DRAFT_290213,cur_G_accs,466.3,5,GCA_022497025
ABOM_008443,cur_C_accs,558.8,5,GCA_001792695
ABOM_002875,cur_B_accs,384.5,5,GCA_001792695
ABOM_008442,cur_M_accs,735.8,5,GCA_001792695
ABOM_008444,cur_G_accs,561.0,5,GCA_001792695
MMC13_006452,cur_C_accs,458.1,5,GCA_022814265
MMC13_006450,cur_M_accs,648.3,5,GCA_022814265
MMC13_003048,cur_G_accs,473.3,5,GCA_022814265
DCS_01700,cur_C_accs,482.7,5,GCA_001625195
DCS_01699,cur_B_accs,421.5,5,GCA_001625195
FCIRC_1170,cur_G_accs,463.3,5,GCA_013396185
COH21_006684,cur_C_accs,564.7,5,GCA_002443215
COH21_011639,cur_B_accs,443.8,5,GCA_002443215
COH21_006683,cur_M_accs,746.1,5,GCA_002443215
COH21_006685,cur_G_accs,587.2,5,GCA_002443215
COH21_007416,cur_G_accs,488.4,5,GCA_002443215
COH21_000372,cur_G_accs,486.6,5,GCA_002443215
E4U46_006121,cur_C_accs,494.8,5,GCA_018360865
E4U46_006120,cur_B_accs,380.7,5,GCA_018360865
E4U46_006123,cur_M_accs,660.4,5,GCA_018360865
CBS147337_2695,cur_C_accs,565.3,5,GCA_022829115
CBS147337_2694,cur_B_accs,404.9,5,GCA_022829115
CBS147337_2693,cur_M_accs,704.4,5,GCA_022829115
CBS147337_2692,cur_G_accs,558.7,5,GCA_022829115
F5X97DRAFT_293984,cur_G_accs,475.0,5,GCA_022578855
